Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Číslo politického subjektu,Názov politického subjektu,Počet platných hlasov,Podiel platných hlasov v %,"Počet voličov, ktorí využili právo prednostného hlasovania","Podiel voličov, ktorí využili právo prednostného hlasovania v %"
2,Trnavský kraj,204,Senica,14,MySlovensko,57,0.09,38,66.66
2,Trnavský kraj,204,Senica,15,Slovenská národná strana,3199,5.54,2840,88.77
2,Trnavský kraj,204,Senica,16,SMER - sociálna demokracia,13341,23.1,10922,81.86
2,Trnavský kraj,204,Senica,17,HLAS - sociálna demokracia,8253,14.29,6651,80.58
2,Trnavský kraj,204,Senica,18,SZÖVETSÉG - Magyarok,30,0.05,21,70.0
2,Trnavský kraj,204,Senica,19,SRDCE vlastenci a dôchodcovia,41,0.07,24,58.53
2,Trnavský kraj,204,Senica,20,SDKU - DS,23,0.03,10,43.47
2,Trnavský kraj,204,Senica,21,Kotlebovci - Ľudová strana Naše Slovensko,668,1.15,529,79.19
2,Trnavský kraj,204,Senica,22,Demokrati,1893,3.27,1546,81.66
2,Trnavský kraj,204,Senica,23,Kresťanskodemokratické hnutie,3588,6.21,2556,71.23
2,Trnavský kraj,204,Senica,24,KARMA,72,0.12,48,66.66
2,Trnavský kraj,204,Senica,25,REPUBLIKA,3319,5.74,2849,85.83
2,Trnavský kraj,205,Trnava,1,Pirátska strana - Slovensko,239,0.23,135,56.48
2,Trnavský kraj,205,Trnava,2,PRINCÍP,28,0.02,22,78.57
2,Trnavský kraj,205,Trnava,3,Progresívne Slovensko,19009,18.47,13819,72.69
2,Trnavský kraj,205,Trnava,4,SPOLOČNE OBČANIA SLOVENSKA,71,0.06,38,53.52
2,Trnavský kraj,205,Trnava,5,OĽANO A PRIATELIA,10516,10.21,9006,85.64
2,Trnavský kraj,205,Trnava,6,Komunistická strana Slovenska,464,0.45,296,63.79
2,Trnavský kraj,205,Trnava,7,Maďarské fórum,42,0.04,35,83.33
2,Trnavský kraj,205,Trnava,8,Vlastenecký blok,93,0.09,78,83.87
2,Trnavský kraj,205,Trnava,9,"Modrí, Most - Híd",102,0.09,75,73.52
2,Trnavský kraj,205,Trnava,10,SPRAVODLIVOSŤ,35,0.03,27,77.14
2,Trnavský kraj,205,Trnava,11,Slovenské Hnutie Obrody,71,0.06,51,71.83
2,Trnavský kraj,205,Trnava,12,Sloboda a Solidarita,6409,6.22,5157,80.46
2,Trnavský kraj,205,Trnava,13,SME RODINA,2162,2.1,1748,80.85
2,Trnavský kraj,205,Trnava,14,MySlovensko,103,0.1,65,63.1
2,Trnavský kraj,205,Trnava,15,Slovenská národná strana,5719,5.55,4875,85.24
2,Trnavský kraj,205,Trnava,16,SMER - sociálna demokracia,26363,25.61,21809,82.72
2,Trnavský kraj,205,Trnava,17,HLAS - sociálna demokracia,14769,14.35,11897,80.55
2,Trnavský kraj,205,Trnava,18,SZÖVETSÉG - Magyarok,46,0.04,36,78.26
2,Trnavský kraj,205,Trnava,19,SRDCE vlastenci a dôchodcovia,71,0.06,42,59.15
2,Trnavský kraj,205,Trnava,20,SDKU - DS,29,0.02,11,37.93
2,Trnavský kraj,205,Trnava,21,Kotlebovci - Ľudová strana Naše Slovensko,876,0.85,750,85.61
2,Trnavský kraj,205,Trnava,22,Demokrati,3968,3.85,3330,83.92
2,Trnavský kraj,205,Trnava,23,Kresťanskodemokratické hnutie,6289,6.11,4633,73.66
2,Trnavský kraj,205,Trnava,24,KARMA,95,0.09,66,69.47
2,Trnavský kraj,205,Trnava,25,REPUBLIKA,5345,5.19,4556,85.23
3,Trenčiansky kraj,301,Bánovce nad Bebravou,1,Pirátska strana - Slovensko,53,0.25,38,71.69
3,Trenčiansky kraj,301,Bánovce nad Bebravou,2,PRINCÍP,6,0.02,2,33.33
3,Trenčiansky kraj,301,Bánovce nad Bebravou,3,Progresívne Slovensko,2922,13.98,2179,74.57
3,Trenčiansky kraj,301,Bánovce nad Bebravou,4,SPOLOČNE OBČANIA SLOVENSKA,19,0.09,11,57.89
3,Trenčiansky kraj,301,Bánovce nad Bebravou,5,OĽANO A PRIATELIA,1287,6.15,1100,85.47
3,Trenčiansky kraj,301,Bánovce nad Bebravou,6,Komunistická strana Slovenska,111,0.53,66,59.45
3,Trenčiansky kraj,301,Bánovce nad Bebravou,7,Maďarské fórum,12,0.05,8,66.66
3,Trenčiansky kraj,301,Bánovce nad Bebravou,8,Vlastenecký blok,34,0.16,31,91.17
3,Trenčiansky kraj,301,Bánovce nad Bebravou,9,"Modrí, Most - Híd",17,0.08,12,70.58
3,Trenčiansky kraj,301,Bánovce nad Bebravou,10,SPRAVODLIVOSŤ,12,0.05,6,50.0
3,Trenčiansky kraj,301,Bánovce nad Bebravou,11,Slovenské Hnutie Obrody,14,0.06,12,85.71
3,Trenčiansky kraj,301,Bánovce nad Bebravou,12,Sloboda a Solidarita,988,4.72,795,80.46
3,Trenčiansky kraj,301,Bánovce nad Bebravou,13,SME RODINA,448,2.14,375,83.7
3,Trenčiansky kraj,301,Bánovce nad Bebravou,14,MySlovensko,19,0.09,11,57.89
3,Trenčiansky kraj,301,Bánovce nad Bebravou,15,Slovenská národná strana,1442,6.89,1239,85.92
3,Trenčiansky kraj,301,Bánovce nad Bebravou,16,SMER - sociálna demokracia,6739,32.24,5631,83.55
3,Trenčiansky kraj,301,Bánovce nad Bebravou,17,HLAS - sociálna demokracia,3754,17.96,3086,82.2
3,Trenčiansky kraj,301,Bánovce nad Bebravou,18,SZÖVETSÉG - Magyarok,5,0.02,3,60.0
