Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Číslo politického subjektu,Názov politického subjektu,Počet platných hlasov,Podiel platných hlasov v %,"Počet voličov, ktorí využili právo prednostného hlasovania","Podiel voličov, ktorí využili právo prednostného hlasovania v %"
1,Bratislavský kraj,103,Pezinok,107,Pezinok,23,Kresťanskodemokratické hnutie,2198,5.33,1546,70.33
1,Bratislavský kraj,103,Pezinok,107,Pezinok,24,KARMA,55,0.13,33,60.0
1,Bratislavský kraj,103,Pezinok,107,Pezinok,25,REPUBLIKA,1656,4.02,1379,83.27
1,Bratislavský kraj,104,Senec,108,Senec,1,Pirátska strana - Slovensko,145,0.24,101,69.65
1,Bratislavský kraj,104,Senec,108,Senec,2,PRINCÍP,20,0.03,15,75.0
1,Bratislavský kraj,104,Senec,108,Senec,3,Progresívne Slovensko,16177,27.57,12104,74.82
1,Bratislavský kraj,104,Senec,108,Senec,4,SPOLOČNE OBČANIA SLOVENSKA,32,0.05,17,53.12
1,Bratislavský kraj,104,Senec,108,Senec,5,OĽANO A PRIATELIA,4530,7.72,3859,85.18
1,Bratislavský kraj,104,Senec,108,Senec,6,Komunistická strana Slovenska,113,0.19,68,60.17
1,Bratislavský kraj,104,Senec,108,Senec,7,Maďarské fórum,100,0.17,88,88.0
1,Bratislavský kraj,104,Senec,108,Senec,8,Vlastenecký blok,21,0.03,15,71.42
1,Bratislavský kraj,104,Senec,108,Senec,9,"Modrí, Most - Híd",198,0.33,156,78.78
1,Bratislavský kraj,104,Senec,108,Senec,10,SPRAVODLIVOSŤ,16,0.02,12,75.0
1,Bratislavský kraj,104,Senec,108,Senec,11,Slovenské Hnutie Obrody,35,0.05,27,77.14
1,Bratislavský kraj,104,Senec,108,Senec,12,Sloboda a Solidarita,6836,11.65,5696,83.32
1,Bratislavský kraj,104,Senec,108,Senec,13,SME RODINA,1321,2.25,1091,82.58
1,Bratislavský kraj,104,Senec,108,Senec,14,MySlovensko,58,0.09,46,79.31
1,Bratislavský kraj,104,Senec,108,Senec,15,Slovenská národná strana,2420,4.12,2134,88.18
1,Bratislavský kraj,104,Senec,108,Senec,16,SMER - sociálna demokracia,10231,17.44,8492,83.0
1,Bratislavský kraj,104,Senec,108,Senec,17,HLAS - sociálna demokracia,6285,10.71,5168,82.22
1,Bratislavský kraj,104,Senec,108,Senec,18,SZÖVETSÉG - Magyarok,2323,3.96,1938,83.42
