Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Počet volebných okrskov,Počet potvrdených okrskových zápisníc,Podiel potvrdených okrskových zápisníc v %,Počet zapísaných voličov,Počet zúčastnených voličov,Účasť voličov v %,Počet odovzdaných obálok na hlasovanie,Podiel odovzdaných obálok v %,Počet platných hlasov spolu,Podiel platných hlasov spolu v %
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501506,Boheľov,1,1,100.0,300,189,63.0,189,100.0,187,98.94
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501514,Čakany,1,1,100.0,476,355,74.57,355,100.0,349,98.3
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,580554,Čenkovce,2,2,100.0,908,637,70.15,637,100.0,631,99.05
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501531,Čiližská Radvaň,1,1,100.0,963,508,52.75,508,100.0,501,98.62
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501549,Dobrohošť,1,1,100.0,454,311,68.5,311,100.0,307,98.71
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501557,Dolný Bar,1,1,100.0,816,528,64.7,525,99.43,517,97.91
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501611,Dolný Štál,2,2,100.0,1609,926,57.55,926,100.0,905,97.73
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501433,Dunajská Streda,18,18,100.0,18950,10658,56.24,10635,99.78,10514,98.64
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555541,Dunajský Klátov,1,1,100.0,668,378,56.58,378,100.0,373,98.67
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501573,Gabčíkovo,4,4,100.0,4309,2581,59.89,2580,99.96,2545,98.6
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501581,Holice,2,2,100.0,1750,1209,69.08,1207,99.83,1196,98.92
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501590,Horná Potôň,3,3,100.0,1830,1139,62.24,1139,100.0,1121,98.41
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555568,Horné Mýto,1,1,100.0,782,410,52.42,410,100.0,409,99.75
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501603,Horný Bar,2,2,100.0,1129,755,66.87,755,100.0,742,98.27
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501620,Hubice,1,1,100.0,532,400,75.18,400,100.0,396,99.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501638,Hviezdoslavov,3,3,100.0,2446,1913,78.2,1911,99.89,1881,98.32
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501654,Jahodná,1,1,100.0,1361,797,58.55,794,99.62,790,99.12
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501662,Janíky,2,2,100.0,761,583,76.6,583,100.0,576,98.79
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501671,Jurová,1,1,100.0,415,288,69.39,287,99.65,286,99.3
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501689,Kľúčovec,1,1,100.0,303,201,66.33,201,100.0,193,96.01
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501697,Kostolné Kračany,1,1,100.0,1215,740,60.9,740,100.0,734,99.18
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501701,Kráľovičove Kračany,1,1,100.0,939,555,59.1,555,100.0,546,98.37
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501719,Kútniky,2,2,100.0,1223,801,65.49,799,99.75,790,98.62
