Kód kraja,Názov kraja,Číslo politického subjektu,Názov politického subjektu,Počet platných hlasov,Podiel platných hlasov v %,"Počet voličov, ktorí využili právo prednostného hlasovania","Podiel voličov, ktorí využili právo prednostného hlasovania v %"
8,Košický kraj,19,SRDCE vlastenci a dôchodcovia,198,0.05,128,64.64
8,Košický kraj,20,SDKU - DS,96,0.02,61,63.54
8,Košický kraj,21,Kotlebovci - Ľudová strana Naše Slovensko,2770,0.76,2478,89.45
8,Košický kraj,22,Demokrati,10863,2.98,9523,87.66
8,Košický kraj,23,Kresťanskodemokratické hnutie,24729,6.8,19898,80.46
8,Košický kraj,24,KARMA,252,0.06,165,65.47
8,Košický kraj,25,REPUBLIKA,18075,4.97,16181,89.52
9,Cudzina,1,Pirátska strana - Slovensko,90,0.15,49,54.44
9,Cudzina,2,PRINCÍP,8,0.01,7,87.5
9,Cudzina,3,Progresívne Slovensko,35701,61.7,21162,59.27
9,Cudzina,4,SPOLOČNE OBČANIA SLOVENSKA,9,0.01,4,44.44
9,Cudzina,5,OĽANO A PRIATELIA,2208,3.81,1954,88.49
9,Cudzina,6,Komunistická strana Slovenska,27,0.04,17,62.96
9,Cudzina,7,Maďarské fórum,38,0.06,31,81.57
9,Cudzina,8,Vlastenecký blok,13,0.02,9,69.23
9,Cudzina,9,"Modrí, Most - Híd",198,0.34,144,72.72
9,Cudzina,10,SPRAVODLIVOSŤ,6,0.01,2,33.33
9,Cudzina,11,Slovenské Hnutie Obrody,11,0.01,7,63.63
9,Cudzina,12,Sloboda a Solidarita,6252,10.8,4895,78.29
9,Cudzina,13,SME RODINA,323,0.55,248,76.78
9,Cudzina,14,MySlovensko,70,0.12,32,45.71
9,Cudzina,15,Slovenská národná strana,2197,3.79,2031,92.44
9,Cudzina,16,SMER - sociálna demokracia,3531,6.1,2740,77.59
9,Cudzina,17,HLAS - sociálna demokracia,1428,2.46,1038,72.68
9,Cudzina,18,SZÖVETSÉG - Magyarok,274,0.47,234,85.4
9,Cudzina,19,SRDCE vlastenci a dôchodcovia,11,0.01,4,36.36
9,Cudzina,21,Kotlebovci - Ľudová strana Naše Slovensko,225,0.38,204,90.66
9,Cudzina,22,Demokrati,1448,2.5,1186,81.9
9,Cudzina,23,Kresťanskodemokratické hnutie,1920,3.31,1393,72.55
9,Cudzina,24,KARMA,16,0.02,8,50.0
9,Cudzina,25,REPUBLIKA,1852,3.2,1476,79.69
