Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Počet volebných okrskov
2,Trnavský kraj,203,Piešťany,204,Piešťany,506834,Borovce,1
2,Trnavský kraj,203,Piešťany,204,Piešťany,506982,Dolný Lopašov,1
2,Trnavský kraj,203,Piešťany,204,Piešťany,506991,Drahovce,2
2,Trnavský kraj,203,Piešťany,204,Piešťany,507008,Dubovany,1
2,Trnavský kraj,203,Piešťany,204,Piešťany,558338,Ducové,1
2,Trnavský kraj,203,Piešťany,204,Piešťany,556581,Hubina,1
2,Trnavský kraj,203,Piešťany,204,Piešťany,507121,Chtelnica,2
2,Trnavský kraj,203,Piešťany,204,Piešťany,507199,Kočín - Lančár,2
2,Trnavský kraj,203,Piešťany,204,Piešťany,507229,Krakovany,1
2,Trnavský kraj,203,Piešťany,204,Piešťany,507342,Moravany nad Váhom,2
2,Trnavský kraj,203,Piešťany,204,Piešťany,507369,Nižná,1
2,Trnavský kraj,203,Piešťany,204,Piešťany,507385,Ostrov,1
2,Trnavský kraj,203,Piešťany,204,Piešťany,507431,Pečeňady,1
2,Trnavský kraj,203,Piešťany,204,Piešťany,507440,Piešťany,28
2,Trnavský kraj,203,Piešťany,204,Piešťany,507466,Prašník,1
2,Trnavský kraj,203,Piešťany,204,Piešťany,507482,Rakovice,1
2,Trnavský kraj,203,Piešťany,204,Piešťany,507491,Ratnovce,1
2,Trnavský kraj,203,Piešťany,204,Piešťany,507563,Sokolovce,1
2,Trnavský kraj,203,Piešťany,204,Piešťany,558397,Šípkové,1
2,Trnavský kraj,203,Piešťany,204,Piešťany,556548,Šterusy,1
2,Trnavský kraj,203,Piešťany,204,Piešťany,507679,Trebatice,1
2,Trnavský kraj,203,Piešťany,204,Piešťany,507709,Veľké Kostoľany,2
2,Trnavský kraj,203,Piešťany,204,Piešťany,556572,Veľké Orvište,1
2,Trnavský kraj,203,Piešťany,204,Piešťany,507725,Veselé,1
2,Trnavský kraj,203,Piešťany,204,Piešťany,507750,Vrbové,4
2,Trnavský kraj,204,Senica,205,Senica,504211,Bílkove Humence,1
2,Trnavský kraj,204,Senica,205,Senica,504238,Borský Mikuláš,3
